"ERHJAHR";"PUBJAHR";"GDENR";"GDEHISTID";"GTOT";"GTF";"GA01";"GA02";"GA03";"GA05";"GA06";"GA07";"GA08";"GB01";"GB02";"GB03";"GB04";"GB05";"GB06";"GB07";"GB08";"GB09";"GB10";"GB11";"GB12";"GB13";"GG01";"GG02";"GG03";"GG04";"GG05";"GG06";"GG07";"GG08";"GG09";"GH21";"GH22";"GH23";"GH24";"GH25";"GH26";"GH27";"GH28";"GH29";"GE21";"GE22";"GE23";"GE24";"GE25";"GE26";"GE27";"GE28";"GE29";"GE30";"GE31";"GE32";"GWW21";"GWW22";"GWW23";"GWW24";"GWW25";"GWW26";"GWW27";"GWW28";"GWE21";"GWE22";"GWE23";"GWE24";"GWE25";"GWE26";"GWE27";"GWE28";"GWE29";"GWE30";"GWE31";"GWE32";"GW00";"GW01";"GW02";"GW03";"GW04";"GW05";"GW06";"GW07";"GW10";"WTOT";"WTF";"WT01";"WT02";"WT03";"WT04";"WT05";"WT06";"WT07";"WT08";"WT09";"WT10";"WT11";"WT12";"WT13";"WT1";"WT1F";"WT101";"WT102";"WT103";"WT104";"WT105";"WT106";"WT107";"WT108";"WT109";"WT110";"WT111";"WT112";"WT113";"WT2";"WT2F";"WT201";"WT202";"WT203";"WT204";"WT205";"WT206";"WT207";"WT208";"WT209";"WT210";"WT211";"WT212";"WT213";"WT3";"WT3F";"WT301";"WT302";"WT303";"WT304";"WT305";"WT306";"WT307";"WT308";"WT309";"WT310";"WT311";"WT312";"WT313";"WT4";"WT4F";"WT401";"WT402";"WT403";"WT404";"WT405";"WT406";"WT407";"WT408";"WT409";"WT410";"WT411";"WT412";"WT413";"WT5";"WT5F";"WT501";"WT502";"WT503";"WT504";"WT505";"WT506";"WT507";"WT508";"WT509";"WT510";"WT511";"WT512";"WT513";"WT6";"WT6F";"WT601";"WT602";"WT603";"WT604";"WT605";"WT606";"WT607";"WT608";"WT609";"WT610";"WT611";"WT612";"WT613"
2024;2025;1;13256;556;87907;547;494;387;107;53;9;0;111;6;19;30;66;81;67;41;41;49;13;26;6;64;221;209;45;13;4;0;0;0;301;3;205;27;14;6;0;0;0;12;28;0;0;157;68;14;3;6;261;7;0;206;18;121;208;2;0;1;0;9;21;0;0;99;22;208;18;2;176;1;0;2;422;50;28;13;8;17;11;5;942;126155;185;12;21;48;72;167;89;53;70;133;26;57;9;27;960;11;0;1;5;1;3;4;0;0;1;1;0;0;87;5691;21;1;0;6;1;18;17;5;2;14;0;2;0;164;15335;39;2;3;9;6;29;8;2;10;34;2;17;3;233;29623;46;5;7;9;12;52;11;7;20;40;8;15;1;234;35792;38;3;6;8;18;34;22;18;25;40;8;11;3;197;38754;30;1;4;11;34;31;27;21;13;4;7;12;2
2024;2025;2;11742;1912;360169;1852;1611;1037;574;241;60;0;296;119;189;158;261;300;110;180;90;76;56;48;29;54;680;796;282;75;19;6;0;0;545;21;958;68;104;214;0;2;0;30;27;2;6;914;105;104;21;212;481;10;0;393;45;706;606;150;0;8;4;29;24;2;4;666;36;606;45;150;338;8;4;11;1154;150;82;38;39;124;195;119;6019;597309;500;161;518;911;814;861;355;285;199;424;424;390;177;176;6995;20;2;18;49;59;9;9;2;2;2;4;0;0;813;47625;45;11;69;165;127;83;33;24;31;57;71;70;27;1736;137841;121;27;180;388;224;209;110;35;15;98;125;137;67;1923;202778;153;43;148;239;217;315;114;60;82;170;169;150;63;918;123427;88;50;57;40;137;165;45;126;35;85;47;25;18;453;78643;73;28;46;30;50;80;44;38;34;12;8;8;2
2024;2025;3;11801;1115;150152;1104;1020;794;226;84;11;0;90;25;88;67;197;245;85;96;94;69;25;24;10;99;413;454;124;24;0;1;0;0;367;1;688;20;13;18;0;8;0;14;31;0;149;483;76;13;1;18;322;8;0;300;9;592;205;1;0;8;0;12;26;0;149;391;52;205;9;1;262;8;0;0;839;44;19;28;21;56;78;30;2533;295603;137;41;110;154;284;376;376;175;311;291;119;98;61;33;1359;1;2;3;7;1;11;4;0;2;0;1;0;1;254;15844;24;4;4;5;17;69;73;5;7;16;8;18;4;544;47917;23;8;15;43;48;75;104;24;46;49;51;33;25;873;97380;30;12;32;41;97;125;120;58;130;130;46;27;25;582;85215;36;11;34;29;101;68;58;63;73;82;8;13;6;247;47888;23;4;22;29;20;28;17;25;53;14;5;7;0
2024;2025;4;11992;1095;154897;1058;939;742;197;119;37;0;283;51;47;56;151;145;79;34;98;30;44;50;27;54;462;500;71;5;1;2;0;0;426;1;434;69;38;126;0;0;1;75;98;0;4;327;171;38;1;126;253;1;1;305;13;269;335;105;0;64;4;64;91;1;3;187;79;335;13;111;147;60;4;7;833;118;48;16;17;16;25;15;1840;231912;407;87;60;106;195;228;157;63;123;62;98;145;109;64;2978;18;5;2;3;10;11;8;1;1;0;1;3;1;187;11793;36;13;4;14;22;27;17;4;1;3;4;20;22;323;28936;58;16;7;25;32;40;24;8;10;5;22;43;33;498;58058;114;25;18;35;50;51;53;21;20;15;29;30;37;417;62578;79;11;13;19;48;50;36;14;55;31;30;18;13;351;67569;102;17;16;10;33;49;19;15;36;8;12;31;3
2024;2025;5;12249;873;128479;853;805;645;160;48;20;0;127;22;162;51;87;104;80;72;50;48;41;10;19;61;396;329;72;14;1;0;0;0;357;4;396;34;57;23;0;2;0;45;42;0;1;364;64;57;4;26;268;2;0;219;35;231;368;18;0;0;2;34;36;0;2;204;25;368;35;18;149;0;2;1;684;48;32;10;15;26;27;30;1752;208855;203;34;212;85;145;170;247;98;127;128;143;67;93;45;1787;15;0;2;4;12;1;7;0;0;1;3;0;0;159;9517;16;3;18;3;13;16;22;1;7;2;19;20;19;380;32897;34;5;30;19;31;23;68;14;26;21;55;25;29;471;53212;68;10;72;15;19;40;73;27;30;38;33;15;31;424;61081;41;13;51;21;44;57;54;32;36;36;24;4;11;273;50361;29;3;39;23;26;33;23;24;28;30;9;3;3
2024;2025;6;12671;363;56119;354;295;223;72;59;9;0;118;3;6;15;20;45;20;22;0;22;28;50;14;12;162;150;38;1;0;0;0;0;121;0;182;29;16;15;0;0;0;13;11;0;0;94;116;16;0;15;97;1;0;105;7;109;130;10;0;2;0;11;11;0;1;56;52;130;7;10;83;2;0;1;261;52;18;2;8;11;10;0;606;79246;183;5;7;17;28;71;36;26;0;31;46;110;46;18;768;15;0;0;0;2;1;0;0;0;0;0;0;0;60;3944;21;0;0;2;3;3;2;1;0;2;7;10;9;86;7722;33;2;0;3;1;6;11;4;0;1;1;17;7;159;19015;44;1;3;3;8;9;10;6;0;16;19;29;11;129;19066;28;0;2;4;8;16;6;11;0;6;8;23;17;154;28731;42;2;2;5;6;36;7;4;0;6;11;31;2
2024;2025;7;12674;520;78254;510;447;329;118;63;10;0;87;7;10;39;47;58;27;58;27;65;33;55;7;23;157;259;58;16;2;3;2;0;174;0;248;18;9;70;0;1;0;12;1;0;9;183;74;9;0;71;161;0;0;147;12;181;130;46;0;3;1;11;1;0;4;117;61;130;12;47;134;2;1;0;379;46;23;7;11;14;28;12;1080;131118;131;11;13;101;83;102;43;122;91;106;104;143;30;28;1093;3;0;1;4;8;6;0;1;2;0;0;3;0;110;6948;12;0;1;19;12;12;4;4;3;4;6;29;4;206;18465;22;4;3;37;9;19;6;18;12;12;32;25;7;310;36466;32;2;3;15;20;16;9;51;50;25;38;35;14;291;44168;31;3;0;14;18;33;13;41;17;53;25;40;3;135;23978;31;2;5;12;16;16;11;7;7;12;3;11;2
2024;2025;8;12738;182;29640;180;132;94;38;48;2;0;90;3;4;6;11;16;4;16;3;21;3;1;4;4;78;79;18;3;0;0;0;0;58;1;97;21;5;0;0;0;0;14;3;0;0;59;59;5;1;0;41;0;0;32;6;60;84;0;0;0;0;13;3;0;0;34;26;84;6;0;16;0;0;0;127;22;17;3;3;5;4;1;319;39993;160;4;4;6;20;39;4;18;4;39;3;2;16;9;267;4;0;0;0;1;4;0;0;0;0;0;0;0;41;2650;22;0;1;1;2;11;0;1;1;0;0;0;2;54;5075;30;1;2;0;5;8;0;3;1;3;0;0;1;79;9882;37;1;1;0;7;4;0;4;0;13;0;2;10;66;9865;31;1;0;2;2;4;2;5;1;13;2;0;3;70;12254;36;1;0;3;3;8;2;5;1;10;1;0;0
2024;2025;9;12433;1190;195470;1158;1056;788;268;102;32;0;300;16;29;59;144;126;79;91;76;64;49;98;59;37;425;576;116;31;5;0;0;0;625;2;482;44;32;5;0;0;0;53;140;0;20;329;177;32;2;5;432;0;0;581;16;367;223;3;0;0;0;54;140;0;19;225;123;223;16;3;387;0;0;7;854;112;42;26;28;23;80;18;2453;309629;457;26;40;96;240;281;236;137;136;173;238;266;127;50;1947;18;2;1;1;3;14;2;0;0;0;5;4;0;217;14086;37;2;1;10;25;34;23;7;3;8;19;41;7;523;48610;104;9;8;14;39;53;60;16;20;33;90;53;24;710;84510;113;2;9;22;57;90;83;23;29;77;84;83;38;595;91212;93;3;6;24;58;59;44;62;62;36;29;77;42;358;69264;92;8;15;25;58;31;24;29;22;19;11;8;16
2024;2025;10;12497;1294;182020;1271;1180;928;252;91;23;0;192;31;45;93;326;168;75;76;89;67;49;59;24;66;531;551;125;19;0;1;1;0;548;0;625;24;69;28;0;0;0;7;29;0;84;482;83;69;0;28;511;1;0;420;22;323;523;6;0;0;0;6;28;0;54;262;7;523;22;6;386;0;0;1;985;102;33;20;15;35;64;39;2704;312247;309;46;47;229;546;266;180;97;106;154;172;360;192;52;2382;9;2;0;9;17;4;2;5;0;1;0;2;1;278;17327;36;5;3;24;57;23;19;3;0;1;13;52;42;592;50621;64;7;4;65;91;39;36;4;0;24;47;131;80;856;95962;82;16;14;74;172;75;65;23;19;67;65;129;55;529;76819;52;8;16;38;124;98;39;25;26;32;34;28;9;397;69136;66;8;10;19;85;27;19;37;61;29;13;18;5
