"ERHJAHR";"PUBJAHR";"RELI";"E_KOORD";"N_KOORD";"GMDE";"HIST_GMDE";"BBTOT";"BB11";"BB12";"BB13";"BB14";"BB15";"BB16";"BB21";"BB22";"BB23";"BB24";"BB25";"BB26";"BB27";"BB28";"BB29";"BB30";"BBMTOT";"BBM01";"BBM02";"BBM03";"BBM04";"BBM05";"BBM06";"BBM07";"BBM08";"BBM09";"BBM10";"BBM11";"BBM12";"BBM13";"BBM14";"BBM15";"BBM16";"BBM17";"BBM18";"BBM19";"BBWTOT";"BBW01";"BBW02";"BBW03";"BBW04";"BBW05";"BBW06";"BBW07";"BBW08";"BBW09";"BBW10";"BBW11";"BBW12";"BBW13";"BBW14";"BBW15";"BBW16";"BBW17";"BBW18";"BBW19";"BB41";"BB42";"BB43";"BB44";"BB45";"BB46";"BB51";"BB52";"BB53";"BB54";"BB55";"BB56";"HPTOT";"HP01";"HP02";"HP03";"HP04";"HP05";"HP06";"HPI"
2024;2025;67932357;2679300;1235700;1;13256;12;10;3;3;0;0;0;11;3;6;4;0;3;3;0;0;0;6;0;0;0;0;0;3;0;0;0;0;3;3;3;0;3;0;0;3;0;6;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;0;3;3;0;3;3;7;3;0;12;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67682368;2676800;1236800;2;11742;53;35;18;13;3;4;0;34;7;18;9;0;19;9;3;7;0;27;3;0;0;0;3;3;6;3;4;4;3;3;3;3;0;0;0;0;0;26;0;0;0;3;3;3;0;3;3;0;3;0;4;3;3;3;3;0;3;0;6;9;34;4;0;53;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67782410;2677800;1241000;3;11801;26;21;5;3;0;3;0;20;3;7;11;0;6;3;0;3;0;10;0;0;0;0;0;0;3;3;0;0;3;3;3;3;0;0;3;3;3;16;0;0;3;0;0;0;3;0;3;0;0;3;0;0;0;3;3;3;5;0;3;5;18;3;0;26;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68292331;2682900;1233100;4;11992;24;21;3;3;0;3;0;20;0;11;9;0;4;3;0;3;0;6;0;0;0;0;0;3;0;0;0;3;3;3;0;3;0;3;0;0;0;18;0;0;0;0;0;0;0;3;0;3;3;3;3;3;3;0;0;4;7;3;4;3;14;3;0;23;3;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67642390;2676400;1239000;5;12249;37;17;20;20;0;0;0;15;0;10;5;0;22;20;0;3;3;28;0;0;0;3;0;3;3;4;6;3;3;3;3;3;0;3;3;0;3;9;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;3;3;3;3;4;15;4;13;3;0;33;3;0;3;0;0;0;0;0;0;0;0;0;
2024;2025;68242313;2682400;1231300;6;12671;10;10;0;0;0;0;0;6;3;3;3;0;4;4;0;0;0;4;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;6;0;3;3;0;0;0;0;0;3;0;0;0;3;0;0;3;3;0;0;0;4;3;5;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67752309;2677500;1230900;7;12674;10;10;0;0;0;0;0;10;0;5;5;0;0;0;0;0;0;3;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;4;0;3;3;8;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67482320;2674800;1232000;8;12738;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67762330;2677600;1233000;9;12433;27;27;0;0;0;0;0;23;0;15;8;0;4;3;0;3;0;11;0;0;0;0;0;3;3;0;0;3;3;3;3;0;3;3;3;3;0;16;0;0;0;0;0;0;0;3;3;0;3;3;0;3;3;3;3;3;3;0;3;5;16;3;0;27;0;0;0;0;0;3;0;3;0;0;0;0;1
2024;2025;67512353;2675100;1235300;10;12497;29;26;3;3;0;3;0;25;5;15;5;0;4;3;0;3;0;15;0;0;0;0;3;3;0;3;0;0;3;3;3;0;0;3;0;3;3;14;0;0;0;0;3;0;3;0;0;3;0;0;0;3;0;0;3;3;6;0;4;3;16;6;0;29;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67302372;2673000;1237200;11;13124;13;11;3;3;0;0;0;11;0;9;3;0;3;3;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;3;0;3;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;3;3;0;3;3;0;3;9;3;0;12;3;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68012328;2680100;1232800;12;12891;5;3;3;3;0;3;0;3;0;3;0;0;3;3;0;3;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;3;3;3;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67952421;2679500;1242100;13;10575;10;9;3;0;3;0;0;8;0;3;5;0;3;3;3;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;3;3;8;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67822437;2678200;1243700;14;13255;35;30;5;3;0;4;0;28;0;18;10;0;7;5;0;3;0;13;0;3;3;3;0;0;3;0;3;0;3;0;0;0;0;3;0;3;3;22;0;0;0;3;0;0;3;0;3;0;0;3;0;3;0;3;3;6;5;0;3;3;25;5;0;35;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69132788;2691300;1278800;22;11862;4;4;0;0;0;0;0;4;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68722694;2687200;1269400;23;11855;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;3;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68912670;2689100;1267000;24;15513;5;5;0;0;0;0;0;5;0;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;4;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68862800;2688600;1280000;25;11573;16;16;0;0;0;0;0;12;3;4;6;0;4;3;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;5;0;0;3;14;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69102698;2691000;1269800;26;12182;3;3;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69042830;2690400;1283000;27;11973;19;17;3;3;0;0;0;16;0;4;11;3;3;3;0;0;0;7;0;0;0;0;0;0;0;0;0;3;3;3;0;0;3;3;0;0;0;12;0;0;0;0;3;0;0;3;3;0;0;0;0;0;0;3;3;3;3;3;3;3;14;3;0;18;0;0;3;0;0;0;0;0;0;0;0;0;
2024;2025;68802701;2688000;1270100;28;11997;4;4;0;0;0;0;0;4;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68942820;2689400;1282000;29;11935;21;18;3;3;0;0;0;17;0;8;9;0;4;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;3;3;13;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;6;4;3;0;0;0;21;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69362687;2693600;1268700;31;12240;18;18;0;0;0;0;0;16;0;11;5;0;3;3;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;14;0;0;0;0;0;0;3;0;0;0;0;3;3;0;3;3;3;3;3;0;0;3;15;3;0;18;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69362728;2693600;1272800;33;12699;14;14;0;0;0;0;0;10;0;7;3;0;4;3;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;3;0;0;10;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;3;3;3;3;0;3;3;10;3;0;14;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68982806;2689800;1280600;34;12635;13;13;0;0;0;0;0;11;0;7;4;0;3;3;0;0;0;7;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;3;0;3;6;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;3;3;0;3;0;11;3;0;13;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69092757;2690900;1275700;35;12742;4;4;0;0;0;0;0;4;3;3;3;0;0;0;0;0;0;4;0;0;0;0;0;0;3;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69682742;2696800;1274200;37;13128;11;11;0;0;0;0;0;9;0;6;3;0;3;3;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;3;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;3;3;0;3;3;7;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68772777;2687700;1277700;38;12912;13;12;3;3;0;0;0;13;3;7;4;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;4;3;0;3;0;10;3;0;13;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69902706;2699000;1270600;39;10563;3;3;0;0;0;0;0;3;0;3;0;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69432771;2694300;1277100;40;10898;13;12;3;3;0;0;0;9;0;4;4;3;4;3;0;3;0;4;0;3;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;3;3;3;3;3;3;0;9;0;0;12;3;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;69682762;2696800;1276200;41;10899;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68932700;2689300;1270000;43;10365;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68362620;2683600;1262000;51;11683;29;24;5;3;3;3;0;20;3;12;7;0;9;6;3;3;0;12;0;0;0;0;0;3;0;0;3;3;3;3;0;3;0;3;3;3;3;17;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;3;4;3;6;0;3;6;22;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68982555;2689800;1255500;52;11685;29;24;5;3;3;3;0;24;0;19;5;0;5;3;3;3;0;16;0;0;0;0;5;0;0;0;3;3;3;3;3;0;0;0;0;0;3;13;0;0;0;0;0;0;0;3;0;0;3;0;3;0;3;3;3;3;3;0;6;3;17;3;0;29;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68302637;2683000;1263700;53;11461;110;83;27;17;3;8;0;86;28;30;28;0;24;9;4;11;0;50;0;3;3;3;3;0;3;3;5;5;4;3;5;4;3;3;5;3;4;60;3;3;0;3;3;0;3;4;0;0;3;6;5;6;3;6;4;3;12;5;14;6;74;11;0;105;3;3;0;0;0;0;0;0;0;0;0;0;
2024;2025;68902534;2689000;1253400;54;11563;17;14;3;3;3;0;0;12;0;7;5;0;5;3;3;0;0;8;0;0;0;0;3;0;3;3;0;3;3;0;0;3;3;0;0;0;0;9;0;0;0;3;0;3;0;3;0;0;0;3;0;3;0;0;0;0;3;0;3;5;11;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68712620;2687100;1262000;56;12292;28;18;10;3;4;3;0;19;3;15;3;0;9;3;3;4;0;19;0;3;3;0;3;3;0;3;3;3;3;3;3;3;3;0;0;0;0;9;0;0;0;0;0;3;0;3;0;3;3;0;0;3;0;0;0;3;0;3;3;3;20;3;0;27;3;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68632651;2686300;1265100;57;11960;17;13;4;3;3;0;0;12;3;7;3;0;5;3;3;0;0;9;0;0;0;0;3;0;3;0;3;0;0;3;3;0;3;0;3;0;0;8;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;3;3;0;3;3;10;3;0;17;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68002680;2680000;1268000;58;12056;35;30;5;4;0;3;0;29;3;19;8;0;6;5;0;3;0;16;3;0;0;0;3;0;0;3;3;3;3;3;0;3;3;3;0;3;0;19;0;0;0;3;0;0;3;0;3;3;3;0;3;3;3;3;0;3;3;0;8;6;19;3;0;35;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68122641;2681200;1264100;59;12166;6;6;0;0;0;0;0;6;0;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68062624;2680600;1262400;60;12220;21;17;4;3;3;3;0;16;3;12;3;0;5;3;3;3;0;12;0;0;0;0;3;3;0;0;3;3;0;3;3;3;0;0;0;3;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;4;3;3;3;13;3;0;19;3;0;0;0;3;0;0;0;0;0;0;0;
2024;2025;67922722;2679200;1272200;61;12178;5;5;0;0;0;0;0;5;3;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;0;0;3;3;3;0;5;0;0;0;0;0;3;3;0;0;0;0;0;1
2024;2025;68632563;2686300;1256300;62;16656;116;84;32;14;7;11;0;66;3;42;23;0;50;19;9;21;3;68;0;0;0;3;3;7;4;10;3;5;3;7;5;5;3;3;3;0;5;48;0;0;3;4;3;3;0;3;4;3;3;3;7;3;3;4;4;3;7;6;19;16;60;10;5;109;3;3;3;0;0;0;0;0;0;0;0;0;
2024;2025;68722605;2687200;1260500;63;12720;12;6;6;5;3;0;0;5;3;3;3;0;7;4;3;0;0;7;0;0;0;0;0;0;3;0;0;3;0;3;3;0;0;3;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;3;6;0;4;0;0;10;3;0;3;0;0;0;0;0;0;0;0;0;
2024;2025;69132558;2691300;1255800;64;16657;29;25;4;3;0;3;0;24;0;14;10;0;5;3;0;4;0;12;0;0;0;3;0;0;0;0;3;3;0;3;3;0;3;3;0;0;3;17;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;3;3;3;8;0;4;4;20;3;0;29;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68892603;2688900;1260300;65;12524;9;9;0;0;0;0;0;8;3;7;0;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;8;0;0;0;0;3;0;0;0;0;0;3;3;0;0;0;0;3;0;3;0;0;0;5;4;0;9;0;0;0;0;0;3;3;0;0;0;0;0;1
2024;2025;68592541;2685900;1254100;66;12483;87;63;24;9;5;10;0;53;3;32;18;0;34;9;8;14;3;53;0;0;0;3;7;4;3;5;9;4;3;3;6;3;4;0;3;3;0;34;0;0;0;0;3;0;0;3;5;3;3;5;5;3;5;5;3;3;0;3;15;16;46;7;3;85;0;0;3;0;3;0;0;0;0;0;0;0;
2024;2025;68262741;2682600;1274100;67;13090;12;11;3;0;0;3;0;9;0;5;4;0;3;3;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;3;3;7;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;3;3;3;0;0;11;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68572648;2685700;1264800;68;12919;16;15;3;0;0;3;0;13;0;7;6;0;3;3;0;3;0;7;0;0;0;0;0;0;0;0;3;0;0;0;3;0;3;0;0;0;3;9;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;3;4;3;0;3;0;12;3;0;16;0;0;0;0;0;3;3;0;0;0;0;0;1
2024;2025;68722522;2687200;1252200;69;10451;76;60;16;8;3;6;0;52;0;35;17;0;24;12;3;8;3;32;3;0;3;3;0;3;3;4;4;3;0;0;3;3;4;0;3;3;4;44;0;0;0;0;3;3;0;0;3;0;3;4;3;5;3;4;5;4;10;3;13;7;52;3;0;75;3;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67782716;2677800;1271600;70;10443;5;5;0;0;0;0;0;5;0;4;3;0;0;0;0;0;0;4;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;5;0;0;0;0;0;3;0;0;0;0;3;0;1
2024;2025;68042733;2680400;1273300;71;10268;11;11;0;0;0;0;0;10;3;5;3;0;3;3;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;4;4;0;11;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68422608;2684200;1260800;72;10331;33;30;3;3;0;3;0;29;3;15;12;0;4;3;0;3;0;13;0;0;0;0;0;0;3;3;3;0;3;0;3;3;3;0;0;3;3;20;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0;3;3;4;7;3;3;3;26;3;0;32;0;3;0;0;0;0;0;0;0;0;0;0;
2024;2025;67542643;2675400;1264300;81;11704;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67262582;2672600;1258200;82;11786;8;8;0;0;0;0;0;8;3;5;3;0;0;0;0;0;0;5;0;0;0;3;3;0;0;0;3;0;0;3;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;3;0;3;0;3;3;0;8;0;0;0;0;0;3;3;0;0;0;0;0;1
2024;2025;67542568;2675400;1256800;83;11456;23;19;4;3;0;3;0;15;0;11;4;0;8;5;0;3;0;13;0;0;0;0;3;0;0;3;3;0;3;3;3;3;3;0;3;0;0;10;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;4;0;3;3;17;3;0;23;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67542548;2675400;1254800;84;11578;19;17;3;3;3;0;0;13;0;8;5;0;6;4;3;3;0;6;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;3;0;3;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;0;3;0;0;3;17;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67292554;2672900;1255400;85;11581;8;8;0;0;0;0;0;7;0;6;3;0;3;0;3;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;3;0;3;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;3;0;0;3;7;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67652596;2676500;1259600;86;11567;42;29;13;9;3;3;0;29;5;19;5;0;13;11;3;0;0;25;0;0;3;3;3;3;3;0;4;3;3;0;3;0;0;4;3;4;0;17;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;3;5;7;3;6;3;32;3;0;41;3;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67152554;2671500;1255400;87;12181;5;4;3;3;0;0;0;3;3;3;0;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;3;0;3;0;3;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;67802630;2678000;1263000;88;12537;12;10;3;3;3;0;0;10;0;5;5;0;3;0;3;0;0;6;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;3;0;3;3;6;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;4;0;3;3;9;3;0;12;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68032606;2680300;1260600;89;12534;31;16;15;3;9;4;0;12;0;10;3;0;19;5;9;5;0;21;0;0;0;0;7;3;3;3;0;0;3;0;0;3;3;0;0;3;3;10;0;0;0;0;3;0;0;0;0;3;3;0;3;0;0;0;3;3;3;3;11;3;9;5;3;27;3;0;3;0;0;0;0;0;0;0;0;0;
2024;2025;67892595;2678900;1259500;90;12560;61;46;15;9;3;3;0;41;4;25;12;0;20;14;3;3;0;27;0;3;0;0;0;4;3;3;3;3;3;3;3;3;3;3;0;3;3;34;0;0;3;0;0;0;4;0;3;3;0;0;0;3;4;3;3;9;9;0;5;4;45;7;0;61;0;0;0;0;0;3;0;3;0;0;0;0;1
2024;2025;67072620;2670700;1262000;91;12568;15;10;5;4;3;0;0;10;0;4;6;0;5;4;3;0;0;6;0;0;0;0;3;0;0;3;3;3;0;3;0;0;0;0;0;0;3;9;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;3;3;3;0;3;4;9;3;0;15;0;0;0;0;0;0;0;0;0;0;0;0;
2024;2025;68152590;2681500;1259000;92;12469;61;41;20;15;3;4;0;35;0;22;13;0;26;18;3;7;0;24;0;0;0;0;0;3;3;3;3;3;3;3;4;3;0;3;0;4;3;37;0;0;0;0;0;3;4;0;3;3;3;3;3;3;3;3;5;8;5;3;11;6;39;3;0;58;3;3;0;0;0;0;0;0;0;0;0;0;
2024;2025;67292617;2672900;1261700;93;12447;7;7;0;0;0;0;0;6;0;5;3;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;3;3;0;0;3;5;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;
