var1,var2,corr,abs_corr,n_rows_used
F1_gastr_count_log1p,F7_urban_sum_log1p,0.7014540496184004,0.7014540496184004,7978
F3_outdoor_hard_count_log1p,F5_sport_out_length_log1p,0.6720148472479679,0.6720148472479679,7978
F5_sport_out_length_log1p,F8_POI_urban_dens_log1p,-0.6454045577177021,0.6454045577177021,7978
F5_sport_count_log1p,F7_urban_sum_log1p,0.5472235001565456,0.5472235001565456,7978
F4_cult_count_log1p,F7_urban_sum_log1p,0.5317531242148655,0.5317531242148655,7978
F1_gastr_count_log1p,F10_superinfra_log1p,0.5138658124872548,0.5138658124872548,7978
F7_urban_sum_log1p,F10_superinfra_log1p,0.49248049565285035,0.49248049565285035,7978
F3_outdoor_soft_count_log1p,F5_sport_count_log1p,0.4511205604272188,0.4511205604272188,7978
F1_gastr_count_log1p,F4_cult_count_log1p,0.4398811372156528,0.4398811372156528,7978
F7_urban_sum_log1p,F8_POI_urban_dens_log1p,0.4392409181926201,0.4392409181926201,7978
F3_outdoor_hard_count_log1p,F10_superinfra_log1p,0.43318061711411127,0.43318061711411127,7978
F1_gastr_count_log1p,F8_POI_urban_dens_log1p,0.4275757376194004,0.4275757376194004,7978
F3_outdoor_soft_count_log1p,F10_superinfra_log1p,0.4217254660837101,0.4217254660837101,7978
F5_sport_out_length_log1p,F10_superinfra_log1p,0.4114196694789838,0.4114196694789838,7978
F2_pop_total_log1p,F3_outdoor_soft_count_log1p,0.35469674264383083,0.35469674264383083,7978
F3_outdoor_hard_count_log1p,F8_POI_urban_dens_log1p,-0.35383943739622825,0.35383943739622825,7978
F2_pop_total_log1p,F5_sport_count_log1p,0.3465909594387413,0.3465909594387413,7978
F4_cult_count_log1p,F10_superinfra_log1p,0.3369325205557321,0.3369325205557321,7978
F3_outdoor_soft_count_log1p,F7_urban_sum_log1p,0.33617108185217676,0.33617108185217676,7978
F3_outdoor_hard_count_log1p,F3_outdoor_soft_count_log1p,0.3318315461194303,0.3318315461194303,7978
F3_outdoor_LUmix_log1p,F8_POI_urban_dens_log1p,-0.3268591159832754,0.3268591159832754,7978
F3_outdoor_LUmix_log1p,F5_sport_out_length_log1p,0.3257924113752367,0.3257924113752367,7978
F4_cult_count_log1p,F8_POI_urban_dens_log1p,0.32528700880623274,0.32528700880623274,7978
F5_sport_count_log1p,F10_superinfra_log1p,0.31546627817175116,0.31546627817175116,7978
F3_outdoor_LUmix_log1p,F5_sport_count_log1p,0.3055225604759337,0.3055225604759337,7978
F6_others_count_log1p,F7_urban_sum_log1p,0.2813837362579592,0.2813837362579592,7978
F3_outdoor_soft_count_log1p,F5_sport_out_length_log1p,0.2655213556844965,0.2655213556844965,7978
F8_outdoor_lake_raw_dens_log1p,F3_outdoor_LUmix_log1p,0.2615065062373921,0.2615065062373921,7978
F3_outdoor_soft_count_log1p,F3_outdoor_LUmix_log1p,0.24468198019684478,0.24468198019684478,7978
F8_outdoor_lake_raw_dens_log1p,F10_superinfra_log1p,0.2386640764978334,0.2386640764978334,7978
F1_gastr_count_log1p,F3_outdoor_hard_count_log1p,0.2333178686964615,0.2333178686964615,7978
F8_outdoor_lake_raw_dens_log1p,F3_outdoor_hard_count_log1p,0.2325026988713945,0.2325026988713945,7978
F8_outdoor_lake_raw_dens_log1p,F5_sport_out_length_log1p,0.23246068875037323,0.23246068875037323,7978
F2_pop_total_log1p,F7_urban_sum_log1p,0.22879995690291807,0.22879995690291807,7978
F1_gastr_count_log1p,F3_outdoor_soft_count_log1p,0.22082806466677274,0.22082806466677274,7978
F6_others_count_log1p,F8_POI_urban_dens_log1p,0.21757704323445115,0.21757704323445115,7978
F3_outdoor_LUmix_log1p,F10_superinfra_log1p,0.214665284265915,0.214665284265915,7978
F8_outdoor_lake_raw_dens_log1p,F3_outdoor_soft_count_log1p,0.20577379556751196,0.20577379556751196,7978
F1_gastr_count_log1p,F8_outdoor_lake_raw_dens_log1p,0.17252610527102055,0.17252610527102055,7978
F3_outdoor_hard_count_log1p,F7_urban_sum_log1p,0.17246986116279292,0.17246986116279292,7978
F8_outdoor_lake_raw_dens_log1p,F7_urban_sum_log1p,0.16951842346675738,0.16951842346675738,7978
F5_sport_count_log1p,F5_sport_out_length_log1p,0.16872657231815338,0.16872657231815338,7978
F1_gastr_count_log1p,F5_sport_count_log1p,0.1685230059737986,0.1685230059737986,7978
F2_pop_total_log1p,F3_outdoor_LUmix_log1p,0.16763571003257668,0.16763571003257668,7978
F3_outdoor_hard_count_log1p,F3_outdoor_LUmix_log1p,0.16205755754319517,0.16205755754319517,7978
F3_outdoor_soft_count_log1p,F4_cult_count_log1p,0.15488611543982045,0.15488611543982045,7978
F3_outdoor_hard_count_log1p,F5_sport_count_log1p,0.14773660325398122,0.14773660325398122,7978
F5_sport_count_log1p,F8_POI_urban_dens_log1p,0.14741861292430122,0.14741861292430122,7978
F8_outdoor_lake_raw_dens_log1p,F8_POI_urban_dens_log1p,-0.14379240695550427,0.14379240695550427,7978
F4_cult_count_log1p,F5_sport_count_log1p,0.14279541890975134,0.14279541890975134,7978
F1_gastr_count_log1p,F5_sport_out_length_log1p,0.1244942356010902,0.1244942356010902,7978
F8_outdoor_lake_raw_dens_log1p,F5_sport_count_log1p,0.12109135797757722,0.12109135797757722,7978
F2_pop_total_log1p,F10_superinfra_log1p,0.12068218631350205,0.12068218631350205,7978
F5_sport_out_length_log1p,F7_urban_sum_log1p,0.11765790470713748,0.11765790470713748,7978
F3_outdoor_LUmix_log1p,F7_urban_sum_log1p,0.11456207952648997,0.11456207952648997,7978
F1_gastr_count_log1p,F2_pop_total_log1p,0.10890123053428807,0.10890123053428807,7978
F1_gastr_count_log1p,F6_others_count_log1p,0.10307096493969596,0.10307096493969596,7978
F3_outdoor_hard_count_log1p,F4_cult_count_log1p,0.09440104791206085,0.09440104791206085,7978
F2_pop_total_log1p,F8_POI_urban_dens_log1p,0.08701552015617696,0.08701552015617696,7978
F8_outdoor_lake_raw_dens_log1p,F4_cult_count_log1p,0.08066116289688767,0.08066116289688767,7978
