variable,vif,n_rows_used,n_vars_used
F7_urban_sum_log1p,4.591293162950006,7978,13
F8_POI_urban_dens_log1p,4.220389573182971,7978,13
F5_sport_out_length_log1p,4.003343752700735,7978,13
F1_gastr_count_log1p,3.2095720289842613,7978,13
F5_sport_count_log1p,2.317342087213235,7978,13
F3_outdoor_hard_count_log1p,2.0522756974239935,7978,13
F10_superinfra_log1p,1.923976289804613,7978,13
F3_outdoor_soft_count_log1p,1.5965185198647553,7978,13
F4_cult_count_log1p,1.5536317412114555,7978,13
F3_outdoor_LUmix_log1p,1.407356544136564,7978,13
F2_pop_total_log1p,1.2644201925183267,7978,13
F6_others_count_log1p,1.2432898742736809,7978,13
F8_outdoor_lake_raw_dens_log1p,1.1809170277412742,7978,13
